Model,MSE,MAE,RMSE,wMAPE,sMAPE,R2,Time_s
LEAR,983.7172,24.634003,31.364267,0.29224647883950633,0.37678155,0.23368266101481033,45.341564893722534
SimpleMLP,1429.2051,27.435709,37.80483,0.32548464418959855,0.3638037,-0.11267765961557144,233.46667408943176
SimpleLSTM,1367.4338,26.670078,36.97883,0.31640156048947454,0.35789007,-0.06459530461242935,137.52623391151428
CNN-BiLSTM-Attn,1348.7427,26.347862,36.72523,0.31257892411130467,0.35538587,-0.05008663609923927,345.4624660015106
ForecastModel_v2,869.9604,22.086515,29.49509,0.2620243072790708,0.33633447,0.3221812949514097,466.1337671279907
