Model,MSE,MAE,RMSE,wMAPE,sMAPE,R2,Time_s
LEAR,917.7974243164062,23.174612045288086,30.29517163371758,0.2750101,0.3557305,0.28618717193603516,52.409980058670044
SimpleMLP,1363.57470703125,28.053171157836914,36.92661244998314,0.33290344,0.3947987,-0.05998726189136505,90.52799820899963
SimpleLSTM,1400.443115234375,27.02678108215332,37.422494775661,0.32072324,0.36089423,-0.08862730115652084,97.98398995399475
CNN-BiLSTM-Attn,1017.3450317382812,23.744720458984375,31.89584662206478,0.28177556,0.3433496,0.20874467492103577,444.1050832271576
ForecastModel,821.6110229492188,21.587257385253906,28.663758004651427,0.25617316,0.3335907,0.36080724000930786,396.5096342563629
